age,gender,past_purchases,browsing_time,category,recommend
56,M,19,29,fashion,1
46,F,3,22,books,0
32,M,9,25,electronics,1
25,M,2,13,electronics,1
38,M,8,18,electronics,1
56,M,12,1,books,1
36,M,17,16,fashion,1
40,M,14,13,books,1
28,M,3,10,books,0
28,F,14,12,fashion,1
41,M,1,2,electronics,1
53,M,14,23,electronics,1
57,F,7,3,books,1
41,F,7,10,electronics,1
20,F,16,2,books,1
39,M,11,27,books,1
19,F,18,23,fashion,1
41,M,9,13,fashion,1
47,M,8,13,fashion,1
55,M,4,18,books,0
19,M,5,3,fashion,0
38,F,19,27,electronics,1
50,F,1,7,electronics,0
29,M,12,14,books,1
39,M,5,20,books,0
42,M,4,29,fashion,0
44,F,0,17,books,0
59,M,5,29,books,0
45,M,5,21,electronics,1
33,F,15,12,electronics,1
32,F,3,25,fashion,0
20,M,10,16,books,1
54,F,8,24,books,1
24,F,2,12,electronics,0
38,M,18,15,books,1
26,F,7,25,electronics,1
56,M,4,10,fashion,0
35,F,3,25,electronics,0
21,M,5,7,books,0
42,M,1,20,fashion,0
31,M,19,5,electronics,1
26,F,10,1,electronics,1
43,M,3,17,fashion,0
19,F,14,3,fashion,1
37,M,5,13,electronics,1
45,M,16,14,books,1
24,F,5,24,electronics,0
25,M,18,18,fashion,1
52,M,1,4,electronics,1
31,F,14,18,fashion,1
34,M,10,5,fashion,1
53,M,7,25,books,1
57,M,18,16,fashion,1
21,M,12,1,fashion,1
19,F,11,21,books,1
23,F,4,14,fashion,0
59,M,5,15,books,0
21,F,3,9,books,0
46,M,18,15,fashion,1
35,F,19,17,fashion,1
43,M,0,25,electronics,1
51,M,19,24,books,1
27,M,16,4,electronics,1
53,M,11,12,fashion,1
31,M,14,27,electronics,1
48,M,0,26,books,0
32,F,13,5,electronics,1
25,M,5,29,books,0
31,F,4,5,fashion,0
40,M,10,11,fashion,1
57,F,3,28,books,0
38,F,12,6,fashion,1
33,F,10,7,fashion,1
35,M,2,24,fashion,0
41,M,0,14,fashion,0
43,F,5,24,books,0
42,M,17,11,electronics,1
58,F,9,13,electronics,1
46,M,4,2,fashion,0
32,F,9,25,electronics,1
18,F,11,7,electronics,1
42,M,1,20,fashion,0
24,F,12,4,fashion,1
26,M,7,27,electronics,1
41,F,1,8,books,0
18,F,19,20,fashion,1
25,M,0,29,books,0
41,M,4,22,electronics,1
28,M,8,21,fashion,1
34,F,16,19,books,1
25,M,8,13,fashion,1
52,F,10,14,electronics,1
52,F,14,10,books,1
50,M,5,11,electronics,1
22,M,2,2,electronics,1
59,F,16,25,fashion,1
56,F,4,26,books,0
58,M,11,9,electronics,1
45,M,17,17,electronics,1
24,M,13,26,books,1
26,M,10,3,electronics,1
25,M,8,24,electronics,1
